#chr,start,end,gene_id,gene_name,alternative_transctipt
chr1,181023120,181023121,ENSG00000135823,STX6,0
chr1,186680921,186680922,ENSG00000073756,PTGS2,0
chr1,201509455,201509456,ENSG00000159176,CSRP1,0
chr1,207321531,207321532,ENSG00000196352,CD55,0
chr1,207454229,207454230,ENSG00000117322,CR2,0
chr1,207496146,207496147,ENSG00000203710,CR1,0
chr1,207645132,207645133,ENSG00000197721,CR1L,0
chr1,207752053,207752054,ENSG00000117335,CD46,0
chr1,223701592,223701593,ENSG00000162909,CAPN2,0
chr1,226408099,226408100,ENSG00000143799,PARP1,0
chr1,226739322,226739323,ENSG00000143772,ITPKB,0
chr1,226870183,226870184,ENSG00000288674,PSEN2,0
chr1,226870183,226870184,ENSG00000143801,PSEN2,1
chr1,241357229,241357230,ENSG00000182901,RGS7,0
chr1,244864559,244864560,ENSG00000153187,HNRNPU,0
chr2,9556731,9556732,ENSG00000151694,ADAM17,0
chr2,10448326,10448327,ENSG00000115758,ODC1,0
chr2,26034083,26034084,ENSG00000084733,RAB10,0
chr2,27275816,27275817,ENSG00000115194,SLC30A3,0
chr2,37231630,37231631,ENSG00000003509,NDUFAF7,0
chr2,37324832,37324833,ENSG00000115825,PRKD3,0
chr2,55112620,55112621,ENSG00000115310,RTN4,0
chr2,65432636,65432637,ENSG00000198369,SPRED2,0
chr2,74392086,74392087,ENSG00000204843,DCTN1,0
chr2,86195471,86195472,ENSG00000132305,IMMT,0
chr2,105744911,105744912,ENSG00000071051,NCK2,0
chr2,108534354,108534355,ENSG00000169756,LIMS1,0
chr2,127107287,127107288,ENSG00000136717,BIN1,0
chr2,127220312,127220313,ENSG00000186684,CYP27C1,0
chr2,127294165,127294166,ENSG00000163161,ERCC3,0
chr2,127388464,127388465,ENSG00000169967,MAP3K2,0
chr2,165194992,165194993,ENSG00000136531,SCN2A,0
chr2,165204049,165204050,ENSG00000153253,SCN3A,0
chr2,166149213,166149214,ENSG00000144285,SCN1A,0
chr2,166375992,166375993,ENSG00000169432,SCN9A,0
chr2,166611481,166611482,ENSG00000136546,SCN7A,0
chr2,191151595,191151596,ENSG00000138378,STAT4,0
chr2,203014797,203014798,ENSG00000138442,WDR12,0
chr2,206159508,206159509,ENSG00000023228,NDUFS1,0
chr2,221574201,221574202,ENSG00000116106,EPHA4,0
chr2,232606056,232606057,ENSG00000115468,EFHD1,0
chr2,233032671,233032672,ENSG00000115488,NEU2,0
chr2,233059966,233059967,ENSG00000168918,INPP5D,0
chr2,233210050,233210051,ENSG00000085978,ATG16L1,0
chr2,240025396,240025397,ENSG00000130414,NDUFA10,0
chr2,241149575,241149576,ENSG00000115685,PPP1R7,0
chr3,9749943,9749944,ENSG00000114026,OGG1,0
chr3,12287367,12287368,ENSG00000132170,PPARG,0
chr3,19947096,19947097,ENSG00000144566,RAB5A,0
chr3,38029641,38029642,ENSG00000187091,PLCD1,0
chr3,38649686,38649687,ENSG00000183873,SCN5A,0
chr3,38816285,38816286,ENSG00000185313,SCN10A,0
chr3,39051983,39051984,ENSG00000168356,SCN11A,0
chr3,48089271,48089272,ENSG00000047849,MAP4,0
chr3,48188416,48188417,ENSG00000164045,CDC25A,0
chr3,49554476,49554477,ENSG00000164061,BSN,0
chr3,61561568,61561569,ENSG00000144724,PTPRG,0
chr3,66501262,66501263,ENSG00000144749,LRIG1,0
chr3,120094993,120094994,ENSG00000082701,GSK3B,0
chr3,126988593,126988594,ENSG00000114554,PLXNA1,0
chr3,155024123,155024124,ENSG00000196549,MME,0
chr3,165837461,165837462,ENSG00000114200,BCHE,0
chr3,190514050,190514051,ENSG00000196083,IL1RAP,0
chr4,986996,986997,ENSG00000127415,IDUA,0
chr4,1793292,1793293,ENSG00000068078,FGFR3,0
chr4,10684767,10684768,ENSG00000109684,CLNK,0
chr4,11429563,11429564,ENSG00000002587,HS3ST1,0
chr4,40191052,40191053,ENSG00000168421,RHOH,0
chr4,41256412,41256413,ENSG00000154277,UCHL1,0
chr4,64409467,64409468,ENSG00000205678,TECRL,0
chr4,89838314,89838315,ENSG00000145335,SNCA,0
chr4,94451856,94451857,ENSG00000163110,PDLIM5,0
chr4,95549205,95549206,ENSG00000182168,UNC5C,0
chr4,105145874,105145875,ENSG00000168769,TET2,0
chr4,108168955,108168956,ENSG00000138795,LEF1,0
chr4,109302751,109302752,ENSG00000188517,COL25A1,0
chr4,121696991,121696992,ENSG00000164111,ANXA5,0
chr4,151099623,151099624,ENSG00000145425,RPS3A,0
chr4,157204181,157204182,ENSG00000120251,GRIA2,0
chr5,1445439,1445440,ENSG00000142319,SLC6A3,0
chr5,14871777,14871778,ENSG00000154122,ANKH,0
chr5,15500179,15500180,ENSG00000183580,FBXL7,0
chr5,43602691,43602692,ENSG00000112992,NNT,0
chr5,56233329,56233330,ENSG00000164512,ANKRD55,0
chr5,63962506,63962507,ENSG00000178394,HTR1A,0
chr5,75336328,75336329,ENSG00000113161,HMGCR,0
chr5,79514133,79514134,ENSG00000152413,HOMER1,0
chr5,83471673,83471674,ENSG00000038427,VCAN,0
chr5,86617927,86617928,ENSG00000127184,COX7C,0
chr5,96525266,96525267,ENSG00000153113,CAST,0
chr5,126776622,126776623,ENSG00000113368,LMNB1,0
chr5,138338354,138338355,ENSG00000158402,CDC25C,0
chr5,140346602,140346603,ENSG00000113070,HBEGF,0
chr5,140564780,140564781,ENSG00000113108,APBB3,0
chr5,147510067,147510068,ENSG00000113657,DPYSL3,0
chr5,148826610,148826611,ENSG00000169252,ADRB2,0
chr5,150113371,150113372,ENSG00000182578,CSF1R,0
chr5,150155871,150155872,ENSG00000113721,PDGFRB,0
chr5,150290290,150290291,ENSG00000070808,CAMK2A,0
chr5,150601079,150601080,ENSG00000171992,SYNPO,0
chr5,151020437,151020438,ENSG00000211445,GPX3,0
chr5,151093576,151093577,ENSG00000145901,TNIP1,0
chr5,151686967,151686968,ENSG00000113140,SPARC,0
chr5,153490267,153490268,ENSG00000155511,GRIA1,0
chr5,157142868,157142869,ENSG00000135077,HAVCR2,0
chr5,157266078,157266079,ENSG00000055163,CYFIP2,0
chr5,159099915,159099916,ENSG00000164330,EBF1,0
chr5,159865079,159865080,ENSG00000170214,ADRA1B,0
chr5,177474400,177474401,ENSG00000113758,DBN1,0
chr5,179806397,179806398,ENSG00000161011,SQSTM1,0
chr5,180209210,180209211,ENSG00000146090,RASGEF1C,0
chr6,3063823,3063824,ENSG00000137275,RIPK1,0
chr6,16238586,16238587,ENSG00000137198,GMPR,0
chr6,17393504,17393505,ENSG00000112186,CAP2,0
chr6,24494866,24494867,ENSG00000112294,ALDH5A1,0
chr6,26087280,26087281,ENSG00000010704,HFE,0
chr6,29633975,29633976,ENSG00000204681,GABBR1,0
chr6,31272104,31272105,ENSG00000204525,HLA-C,0
chr6,31357187,31357188,ENSG00000234745,HLA-B,0
chr6,31399783,31399784,ENSG00000204520,MICA,0
chr6,31730616,31730617,ENSG00000213722,DDAH2,0
chr6,31827737,31827738,ENSG00000204388,HSPA1B,0
chr6,31982056,31982057,ENSG00000244731,C4A,0
chr6,32014794,32014795,ENSG00000224389,C4B,0
chr6,32224066,32224067,ENSG00000204301,NOTCH4,0
chr6,32589847,32589848,ENSG00000196126,HLA-DRB1,0
chr6,32628178,32628179,ENSG00000196735,HLA-DQA1,0
chr6,32844135,32844136,ENSG00000240065,PSMB9,0
chr6,32844678,32844679,ENSG00000204264,PSMB8,0
chr6,32968593,32968594,ENSG00000204256,BRD2,0
chr6,33314386,33314387,ENSG00000231925,TAPBP,0
chr6,33419660,33419661,ENSG00000197283,SYNGAP1,0
chr6,41039220,41039221,ENSG00000124602,UNC5CL,0
chr6,41072944,41072945,ENSG00000001167,NFYA,0
chr6,41097786,41097787,ENSG00000124596,OARD1,0
chr6,41163185,41163186,ENSG00000095970,TREM2,0
chr6,41201148,41201149,ENSG00000112195,TREML2,0
chr6,41736258,41736259,ENSG00000112561,TFEB,0
chr6,43576037,43576038,ENSG00000124571,XPO5,0
chr6,47309904,47309905,ENSG00000146072,TNFRSF21,0
chr6,47477788,47477789,ENSG00000198087,CD2AP,0
chr6,108559834,108559835,ENSG00000118689,FOXO3,0
chr6,114343044,114343045,ENSG00000249853,HS3ST5,0
chr6,121435594,121435595,ENSG00000152661,GJA1,0
chr6,122779715,122779716,ENSG00000164434,FABP7,0
chr6,135851700,135851701,ENSG00000171408,PDE7B,0
chr6,150865678,150865679,ENSG00000120254,MTHFD1L,0
chr6,151656690,151656691,ENSG00000091831,ESR1,0
chr6,158819367,158819368,ENSG00000092820,EZR,0
chr6,163413999,163414000,ENSG00000112531,QKI,0
chr6,166906450,166906451,ENSG00000071242,RPS6KA2,0
chr7,1459469,1459470,ENSG00000164877,MICALL2,0
chr7,7640710,7640711,ENSG00000219545,UMAD1,0
chr7,8262686,8262687,ENSG00000003147,ICA1,0
chr7,12211269,12211270,ENSG00000106460,TMEM106B,0
chr7,16646130,16646131,ENSG00000136261,BZW2,0
chr7,23235966,23235967,ENSG00000136235,GPNMB,0
chr7,28180794,28180795,ENSG00000153814,JAZF1,0
chr7,37449222,37449223,ENSG00000155849,ELMO1,0
chr7,37683842,37683843,ENSG00000086289,EPDR1,0
chr7,37848596,37848597,ENSG00000086288,NME8,0
chr7,44796679,44796680,ENSG00000196262,PPIA,0
chr7,54759973,54759974,ENSG00000132432,SEC61G,0
chr7,73719668,73719669,ENSG00000106089,STX1A,0
chr7,76302672,76302673,ENSG00000106211,HSPB1,0
chr7,82443776,82443777,ENSG00000153956,CACNA2D1,0
chr7,91940839,91940840,ENSG00000127914,AKAP9,0
chr7,99976030,99976031,ENSG00000160862,AZGP1,0
chr7,100088968,100088969,ENSG00000168090,COPS6,0
chr7,100101548,100101549,ENSG00000221838,AP4M1,0
chr7,100148906,100148907,ENSG00000188186,LAMTOR4,0
chr7,100272217,100272218,ENSG00000239521,CASTOR3,0
chr7,100307701,100307702,ENSG00000214300,SPDYE3,0
chr7,100352175,100352176,ENSG00000121716,PILRB,0
chr7,100367529,100367530,ENSG00000085514,PILRA,0
chr7,100428791,100428792,ENSG00000078487,ZCWPW1,0
chr7,100483926,100483927,ENSG00000166924,NYAP1,0
chr7,100539202,100539203,ENSG00000106351,AGFG2,0
chr7,100656447,100656448,ENSG00000077080,ACTL6B,0
chr7,100673566,100673567,ENSG00000172354,GNB2,0
chr7,100896973,100896974,ENSG00000087085,ACHE,0
chr7,101165568,101165569,ENSG00000128564,VGF,0
chr7,101218164,101218165,ENSG00000106400,ZNHIT1,0
chr7,107044704,107044705,ENSG00000005249,PRKAR2B,0
chr7,107891163,107891164,ENSG00000091140,DLD,0
chr7,140924928,140924929,ENSG00000157764,BRAF,0
chr7,141551277,141551278,ENSG00000006530,AGK,0
chr7,143288214,143288215,ENSG00000106144,CASP2,0
chr7,143381294,143381295,ENSG00000159840,ZYX,0
chr7,143408855,143408856,ENSG00000146904,EPHA1,0
chr7,143902197,143902198,ENSG00000198420,TCAF1,0
chr7,146116001,146116002,ENSG00000174469,CNTNAP2,0
chr7,150991016,150991017,ENSG00000164867,NOS3,0
chr7,151057896,151057897,ENSG00000164885,CDK5,0
chr7,153887096,153887097,ENSG00000130226,DPP6,0
chrX,1392112,1392113,ENSG00000169100,SLC25A6,0
chrX,13938637,13938638,ENSG00000046653,GPM6B,0
chrX,53434369,53434370,ENSG00000072506,HSD17B10,0
chrX,65588376,65588377,ENSG00000147065,MSN,0
chrX,114584077,114584078,ENSG00000147246,HTR2C,0
chr8,11869532,11869533,ENSG00000164733,CTSB,0
chr8,26514030,26514031,ENSG00000092964,DPYSL2,0
chr8,26867277,26867278,ENSG00000120907,ADRA1A,0
chr8,27258419,27258420,ENSG00000015592,STMN4,0
chr8,27311481,27311482,ENSG00000120899,PTK2B,0
chr8,27479882,27479883,ENSG00000120903,CHRNA2,0
chr8,27490780,27490781,ENSG00000120915,EPHX2,0
chr8,27614699,27614700,ENSG00000120885,CLU,0
chr8,27633867,27633868,ENSG00000168077,SCARA3,0
chr8,37736622,37736623,ENSG00000147475,ERLIN2,0
chr8,37966598,37966599,ENSG00000188778,ADRB3,0
chr8,41309472,41309473,ENSG00000104332,SFRP1,0
chr8,53843557,53843558,ENSG00000047249,ATP6V1H,0
chr8,61714639,61714640,ENSG00000198363,ASPH,0
chr8,94949377,94949378,ENSG00000164938,TP53INP1,0
chr8,102124906,102124907,ENSG00000104490,NCALD,0
chr8,143976733,143976734,ENSG00000178209,PLEC,0
chr8,143990055,143990056,ENSG00000178719,GRINA,0
chr8,144108123,144108124,ENSG00000179526,SHARPIN,0
chr9,4348391,4348392,ENSG00000107249,GLIS3,0
chr9,4490467,4490468,ENSG00000106688,SLC1A1,0
chr9,4792943,4792944,ENSG00000120158,RCL1,0
chr9,34637808,34637809,ENSG00000147955,SIGMAR1,0
chr9,35072667,35072668,ENSG00000165280,VCP,0
chr9,78297124,78297125,ENSG00000135069,PSAT1,0
chr9,97983340,97983341,ENSG00000136938,ANP32B,0
chr9,98708934,98708935,ENSG00000136928,GABBR2,0
chr9,101738646,101738647,ENSG00000198785,GRIN3A,0
chr9,104928154,104928155,ENSG00000165029,ABCA1,0
chr9,122370529,122370530,ENSG00000095303,PTGS1,0
chr9,127877674,127877675,ENSG00000106992,AK1,0
chr9,128191654,128191655,ENSG00000106976,DNM1,0
chr9,128275994,128275995,ENSG00000167110,GOLGA2,0
chr9,130713015,130713016,ENSG00000097007,ABL1,0
chr9,137139153,137139154,ENSG00000176884,GRIN1,0
chr11,924893,924894,ENSG00000183020,AP2A2,0
chr11,1764572,1764573,ENSG00000117984,CTSD,0
chr11,6419413,6419414,ENSG00000166313,APBB1,0
chr11,6603707,6603708,ENSG00000166333,ILK,0
chr11,27722057,27722058,ENSG00000176697,BDNF,0
chr11,35138881,35138882,ENSG00000026508,CD44,0
chr11,46380755,46380756,ENSG00000110492,MDK,0
chr11,46700618,46700619,ENSG00000175220,ARHGAP1,0
chr11,46918641,46918642,ENSG00000134569,LRP4,0
chr11,47248299,47248300,ENSG00000025434,NR1H3,0
chr11,47248905,47248906,ENSG00000134575,ACP2,0
chr11,47269160,47269161,ENSG00000110514,MADD,0
chr11,47352701,47352702,ENSG00000134571,MYBPC3,0
chr11,47378546,47378547,ENSG00000066336,SPI1,0
chr11,47407131,47407132,ENSG00000165915,SLC39A13,0
chr11,47426472,47426473,ENSG00000165916,PSMC3,0
chr11,47449142,47449143,ENSG00000165917,RAPSN,0
chr11,47565335,47565336,ENSG00000213619,NDUFS3,0
chr11,47565429,47565430,ENSG00000110536,PTPMT1,0
chr11,47565568,47565569,ENSG00000149187,CELF1,0
chr11,47594410,47594411,ENSG00000172247,C1QTNF4,0
chr11,47642606,47642607,ENSG00000109919,MTCH2,0
chr11,47848554,47848555,ENSG00000030066,NUP160,0
chr11,47980557,47980558,ENSG00000149177,PTPRJ,0
chr11,59615773,59615774,ENSG00000110048,OSBP,0
chr11,60184665,60184666,ENSG00000110077,MS4A6A,0
chr11,60185656,60185657,ENSG00000110079,MS4A4A,0
chr11,60334830,60334831,ENSG00000166926,MS4A6E,0
chr11,61581147,61581148,ENSG00000011347,SYT7,0
chr11,62556234,62556235,ENSG00000124942,AHNAK,0
chr11,63681445,63681446,ENSG00000133318,RTN3,0
chr11,65134531,65134532,ENSG00000162298,SYVN1,0
chr11,65180565,65180566,ENSG00000014216,CAPN1,0
chr11,65386620,65386621,ENSG00000126391,FRMD8,0
chr11,65525076,65525077,ENSG00000142186,SCYL1,0
chr11,65614248,65614249,ENSG00000173327,MAP3K11,0
chr11,65663089,65663090,ENSG00000173039,RELA,0
chr11,65711995,65711996,ENSG00000172977,KAT5,0
chr11,65720802,65720803,ENSG00000172922,RNASEH2C,0
chr11,65862025,65862026,ENSG00000172757,CFL1,0
chr11,65873591,65873592,ENSG00000172638,EFEMP2,0
chr11,65888530,65888531,ENSG00000172500,FIBP,0
chr11,65890672,65890673,ENSG00000175602,CCDC85B,0
chr11,66050728,66050729,ENSG00000087365,SF3B2,0
chr11,66070271,66070272,ENSG00000175115,PACS1,0
chr11,66257293,66257294,ENSG00000174996,KLC2,0
chr11,66289144,66289145,ENSG00000174851,YIF1A,0
chr11,66291893,66291894,ENSG00000179292,TMEM151A,0
chr11,66466326,66466327,ENSG00000174516,PELI3,0
chr11,67428482,67428483,ENSG00000175634,RPS6KB2,0
chr11,67605652,67605653,ENSG00000167792,NDUFV1,0
chr11,78418347,78418348,ENSG00000033327,GAB2,0
chr11,82970583,82970584,ENSG00000137509,PRCP,0
chr11,85627921,85627922,ENSG00000150672,DLG2,0
chr11,85628572,85628573,ENSG00000171204,TMEM126B,0
chr11,85647966,85647967,ENSG00000171202,TMEM126A,0
chr11,85811158,85811159,ENSG00000137501,SYTL2,0
chr11,85855100,85855101,ENSG00000150676,CCDC83,0
chr11,86069881,86069882,ENSG00000073921,PICALM,0
chr11,86244752,86244753,ENSG00000074266,EED,0
chr11,86302210,86302211,ENSG00000149196,HIKESHI,0
chr11,86672635,86672636,ENSG00000151376,ME3,0
chr11,102530746,102530747,ENSG00000137673,MMP7,0
chr11,102727049,102727050,ENSG00000118113,MMP8,0
chr11,102798159,102798160,ENSG00000196611,MMP1,0
chr11,102843608,102843609,ENSG00000149968,MMP3,0
chr11,102955731,102955732,ENSG00000137745,MMP13,0
chr11,113475397,113475398,ENSG00000149295,DRD2,0
chr11,117316258,117316259,ENSG00000186318,BACE1,0
chr11,121452313,121452314,ENSG00000137642,SORL1,0
chr10,10798396,10798397,ENSG00000048740,CELF2,0
chr10,11611753,11611754,ENSG00000148429,USP6NL,0
chr10,11742365,11742366,ENSG00000134463,ECHDC3,0
chr10,17228240,17228241,ENSG00000026025,VIM,0
chr10,32992462,32992463,ENSG00000150093,ITGB1,0
chr10,59906555,59906556,ENSG00000108091,CCDC6,0
chr10,60733489,60733490,ENSG00000151150,ANK3,0
chr10,61901683,61901684,ENSG00000150347,ARID5B,0
chr10,73909176,73909177,ENSG00000122861,PLAU,0
chr10,74151201,74151202,ENSG00000156110,ADK,0
chr10,80454165,80454166,ENSG00000108219,TSPAN14,0
chr10,80537901,80537902,ENSG00000178217,SH2D4B,0
chr10,92574095,92574096,ENSG00000119912,IDE,0
chr10,96271586,96271587,ENSG00000095585,BLNK,0
chr10,109996367,109996368,ENSG00000148700,ADD3,0
chr10,110567694,110567695,ENSG00000108055,SMC3,0
chr10,112950246,112950247,ENSG00000148737,TCF7L2,0
chr10,113679161,113679162,ENSG00000165806,CASP7,0
chr10,114043865,114043866,ENSG00000043591,ADRB1,0
chr10,114768060,114768061,ENSG00000099204,ABLIM1,0
chr10,122374695,122374696,ENSG00000107679,PLEKHA1,0
chr10,122458550,122458551,ENSG00000166033,HTRA1,0
chr12,4649113,4649114,ENSG00000139180,NDUFA9,0
chr12,9116228,9116229,ENSG00000175899,A2M,0
chr12,13982001,13982002,ENSG00000273079,GRIN2B,0
chr12,20368536,20368537,ENSG00000172572,PDE3A,0
chr12,45215986,45215987,ENSG00000177119,ANO6,0
chr12,51590265,51590266,ENSG00000196876,SCN8A,0
chr12,56300390,56300391,ENSG00000062485,CS,0
chr12,57128482,57128483,ENSG00000123384,LRP1,0
chr12,78863992,78863993,ENSG00000067715,SYT1,0
chr12,89709299,89709300,ENSG00000070961,ATP2B1,0
chr12,99984653,99984654,ENSG00000185046,ANKS1B,0
chr12,110280755,110280756,ENSG00000174437,ATP2A2,0
chr12,112570379,112570380,ENSG00000089169,RPH3A,0
chr12,113221049,113221050,ENSG00000186815,TPCN1,0
chr12,119171554,119171555,ENSG00000152137,HSPB8,0
chr12,124882667,124882668,ENSG00000073060,SCARB1,0
chr13,36131381,36131382,ENSG00000133083,DCLK1,0
chr13,46897075,46897076,ENSG00000102468,HTR2A,0
chr13,75482168,75482169,ENSG00000136111,TBC1D4,0
chr13,95433603,95433604,ENSG00000134873,CLDN10,0
chr13,108596151,108596152,ENSG00000041515,MYO16,0
chr14,23035229,23035230,ENSG00000100804,PSMB5,0
chr14,50532508,50532509,ENSG00000198513,ATL1,0
chr14,52707177,52707178,ENSG00000100519,PSMC6,0
chr14,52730165,52730166,ENSG00000198252,STYX,0
chr14,52791667,52791668,ENSG00000100522,GNPNAT1,0
chr14,52952434,52952435,ENSG00000073712,FERMT2,0
chr14,59870775,59870776,ENSG00000139970,RTN1,0
chr14,64338111,64338112,ENSG00000140009,ESR2,0
chr14,64465498,64465499,ENSG00000179841,AKAP5,0
chr14,73136417,73136418,ENSG00000080815,PSEN1,0
chr14,92040895,92040896,ENSG00000100815,TRIP11,0
chr14,92106620,92106621,ENSG00000066427,ATXN3,0
chr14,92121916,92121917,ENSG00000183648,NDUFB1,0
chr14,92322580,92322581,ENSG00000140090,SLC24A4,0
chr14,92513780,92513781,ENSG00000100599,RIN3,0
chr14,92748678,92748679,ENSG00000100600,LGMN,0
chr14,92794304,92794305,ENSG00000066455,GOLGA5,0
chr14,95319907,95319908,ENSG00000165959,CLMN,0
chr15,31923437,31923438,ENSG00000175344,CHRNA7,0
chr15,44663677,44663678,ENSG00000104133,SPG11,0
chr15,50546707,50546708,ENSG00000170236,USP50,0
chr15,50765705,50765706,ENSG00000138600,SPPL2A,0
chr15,51622832,51622833,ENSG00000104093,DMXL2,0
chr15,58138168,58138169,ENSG00000103569,AQP9,0
chr15,58410568,58410569,ENSG00000166035,LIPC,0
chr15,58497865,58497866,ENSG00000128918,ALDH1A2,0
chr15,58749790,58749791,ENSG00000137845,ADAM10,0
chr15,58771191,58771192,ENSG00000128923,MINDY2,0
chr15,58865174,58865175,ENSG00000157450,RNF111,0
chr15,60402882,60402883,ENSG00000182718,ANXA2,0
chr15,61229301,61229302,ENSG00000069667,RORA,0
chr15,63042631,63042632,ENSG00000140416,TPM1,0
chr15,63121832,63121833,ENSG00000103642,LACTB,0
chr15,63276017,63276018,ENSG00000138613,APH1B,0
chr15,63381845,63381846,ENSG00000074410,CA12,0
chr15,64094122,64094123,ENSG00000028528,SNX1,0
chr15,76311471,76311472,ENSG00000140374,ETFA,0
chr15,77820899,77820900,ENSG00000169783,LINGO1,0
chr15,78810486,78810487,ENSG00000185787,MORF4L1,0
chr15,78949573,78949574,ENSG00000103811,CTSH,0
chr15,79090779,79090780,ENSG00000058335,RASGRF1,0
chr15,82709945,82709946,ENSG00000103723,AP3B2,0
chr15,91099949,91099950,ENSG00000185518,SV2B,0
chr15,99098216,99098217,ENSG00000182253,SYNM,0
chr16,10182896,10182897,ENSG00000183454,GRIN2A,0
chr16,19716455,19716456,ENSG00000174628,IQCK,0
chr16,19718226,19718227,ENSG00000103550,KNOP1,0
chr16,19886166,19886167,ENSG00000167191,GPRC5B,0
chr16,28846347,28846348,ENSG00000178952,TUFM,0
chr16,29806105,29806106,ENSG00000103495,MAZ,0
chr16,29820393,29820394,ENSG00000013364,MVP,0
chr16,29899546,29899547,ENSG00000174938,SEZ6L2,0
chr16,29926235,29926236,ENSG00000174943,KCTD13,0
chr16,30023197,30023198,ENSG00000167194,C16orf92,0
chr16,30023269,30023270,ENSG00000149927,DOC2A,0
chr16,30064171,30064172,ENSG00000149925,ALDOA,0
chr16,30091923,30091924,ENSG00000149922,TBX6,0
chr16,30123505,30123506,ENSG00000102882,MAPK3,0
chr16,30182826,30182827,ENSG00000102879,CORO1A,0
chr16,30896613,30896614,ENSG00000150281,CTF1,0
chr16,30923054,30923055,ENSG00000099364,FBXL19,0
chr16,30957753,30957754,ENSG00000099381,SETD1A,0
chr16,30985206,30985207,ENSG00000099377,HSD3B7,0
chr16,31010637,31010638,ENSG00000099365,STX1B,0
chr16,31032888,31032889,ENSG00000103496,STX4,0
chr16,31074421,31074422,ENSG00000167395,ZNF646,0
chr16,31088962,31088963,ENSG00000151006,PRSS53,0
chr16,31095979,31095980,ENSG00000167397,VKORC1,0
chr16,31106106,31106107,ENSG00000103507,BCKDK,0
chr16,31114488,31114489,ENSG00000103510,KAT8,0
chr16,31180137,31180138,ENSG00000089280,FUS,0
chr16,31203449,31203450,ENSG00000103490,PYCARD,0
chr16,31428359,31428360,ENSG00000156885,COX6A2,0
chr16,31873806,31873807,ENSG00000185947,ZNF267,0
chr16,55566683,55566684,ENSG00000256812,CAPNS2,0
chr16,55655603,55655604,ENSG00000103546,SLC6A2,0
chr16,56191389,56191390,ENSG00000087258,GNAO1,0
chr16,56608583,56608584,ENSG00000125148,MT2A,0
chr16,67481180,67481181,ENSG00000159720,ATP6V0D1,0
chr16,70579894,70579895,ENSG00000157368,IL34,0
chr16,70755034,70755035,ENSG00000214353,VAC14-AS1,0
chr16,71724700,71724701,ENSG00000040199,PHLPP2,0
chr16,78099429,78099430,ENSG00000186153,WWOX,0
chr16,79600736,79600737,ENSG00000178573,MAF,0
chr16,81739096,81739097,ENSG00000197943,PLCG2,0
chr16,86510526,86510527,ENSG00000103241,FOXF1,0
chr16,89921391,89921392,ENSG00000258947,TUBB3,0
chr16,89948696,89948697,ENSG00000140995,DEF8,0
chr16,90092071,90092072,ENSG00000126856,PRDM7,0
chr17,1716522,1716523,ENSG00000167716,WDR81,0
chr17,3609410,3609411,ENSG00000196689,TRPV1,0
chr17,4710595,4710596,ENSG00000141480,ARRB2,0
chr17,4739927,4739928,ENSG00000161921,CXCL16,0
chr17,4796143,4796144,ENSG00000142507,PSMB6,0
chr17,4807151,4807152,ENSG00000129219,PLD2,0
chr17,4833339,4833340,ENSG00000141503,MINK1,0
chr17,4899417,4899418,ENSG00000205710,C17orf107,0
chr17,4934437,4934438,ENSG00000108556,CHRNE,0
chr17,4940052,4940053,ENSG00000108528,SLC25A11,0
